"year","county","crop_category","crop_type","area_in_ha","volume_in_mt","value_in_million_ksh"
2012,"Nyandarua","Exotic Vegetables","Potatoes",25175,347731,"3334"
2012,"Elgeyo Marakwet","Exotic Vegetables","Potatoes",15844,259047,"4126"
2012,"Meru","Exotic Vegetables","Potatoes",10842,133704,"3332"
2012,"Nakuru","Exotic Vegetables","Potatoes",13675,252751,"2336"
2012,"Kiambu","Exotic Vegetables","Potatoes",12582,116155,"2005"
2012,"Bomet","Exotic Vegetables","Potatoes",2847,43600,"1020"
2012,"Nyeri","Exotic Vegetables","Potatoes",8067,133446,"1463"
2012,"Narok","Exotic Vegetables","Potatoes",5022,38465,"1754"
2012,"Bungoma","Exotic Vegetables","Potatoes",7110,86340,"402"
2012,"Murang'a","Exotic Vegetables","Potatoes",6423,35150,"683"
2012,"Baringo","Exotic Vegetables","Potatoes",1717,25924,"516"
2012,"Uasin Gishu","Exotic Vegetables","Potatoes",913,13531,"199"
2012,"Others","Exotic Vegetables","Potatoes",3702,84210,"1000"
2012,"Kajiado","Exotic Vegetables","Tomatoes",1603,35937,"921"
2012,"Bungoma","Exotic Vegetables","Tomatoes",1344,39232,"1221"
2012,"Kirinyaga","Exotic Vegetables","Tomatoes",1903,59464,"1159"
2012,"Makueni","Exotic Vegetables","Tomatoes",431,17582,"651"
2012,"Kiambu","Exotic Vegetables","Tomatoes",964,18029,"811"
2012,"Trans Nzoia","Exotic Vegetables","Tomatoes",480,9270,"129"
2012,"Machakos","Exotic Vegetables","Tomatoes",547,10335,"222"
2012,"Kisii","Exotic Vegetables","Tomatoes",876,15590,"331"
2012,"Nakuru","Exotic Vegetables","Tomatoes",509,6745,"602"
2012,"Kisumu","Exotic Vegetables","Tomatoes",822,12219,"347"
2012,"Others","Exotic Vegetables","Tomatoes",9706,139702,"3992"
2012,"Meru","Exotic Vegetables","Snow Peas",851,5055,"309"
2012,"Nyandarua","Exotic Vegetables","Snow Peas",368,2627,"106"
2012,"Laikipia","Exotic Vegetables","Snow Peas",18,54,"2"
2012,"Taita Taveta","Exotic Vegetables","Snow Peas",214,4336,"71.9"
2012,"Kiambu","Exotic Vegetables","Snow Peas",124,1092,"20.4"
2012,"Narok","Exotic Vegetables","Snow Peas",NA,NA,NA
2012,"Baringo","Exotic Vegetables","Snow Peas",25,213,"21.3"
2012,"Nyeri","Exotic Vegetables","Snow Peas",17,81,"29.8"
2012,"Trans Nzoia","Exotic Vegetables","Snow Peas",31,46,"1"
2012,"Nakuru","Exotic Vegetables","Snow Peas",8,19,"2"
2012,"Others","Exotic Vegetables","Snow Peas",46,218,"7"
2012,"Kirinyaga","Exotic Vegetables","French Beans",1813,51148,"2455.58"
2012,"Murang'a","Exotic Vegetables","French Beans",861,3848,"1185.28"
2012,"Meru","Exotic Vegetables","French Beans",326,16615,"616.63"
2012,"Machakos","Exotic Vegetables","French Beans",329,1760,"75.22"
2012,"Narok","Exotic Vegetables","French Beans",105,1575,"94.5"
2012,"Kiambu","Exotic Vegetables","French Beans",221,4149,"55.95"
2012,"Taita Taveta","Exotic Vegetables","French Beans",48,1191,"42.23"
2012,"Embu","Exotic Vegetables","French Beans",58,746,"25.85"
2012,"Nyeri","Exotic Vegetables","French Beans",139,428,"623.85"
2012,"Bomet","Exotic Vegetables","French Beans",NA,NA,NA
2012,"Makueni","Exotic Vegetables","French Beans",74,379,"16.52"
2012,"Kajiado","Exotic Vegetables","French Beans",88,478,"17.04"
2012,"Others","Exotic Vegetables","French Beans",894,1529,"36"
2012,"Meru","Exotic Vegetables","Sugar Snaps",60,600,"72"
2012,"Trans Nzoia","Exotic Vegetables","Sugar Snaps",5,20,NA
2012,"Taita Taveta","Exotic Vegetables","Sugar Snaps",548,2740,"95.9"
2012,"Uasin Gishu","Exotic Vegetables","Sugar Snaps",40,800,"72"
2012,"Narok","Exotic Vegetables","Sugar Snaps",NA,NA,NA
2012,"Elgeyo Marakwet","Exotic Vegetables","Sugar Snaps",NA,NA,NA
2012,"Laikipia","Exotic Vegetables","Sugar Snaps",NA,NA,NA
2012,"Nyeri","Exotic Vegetables","Sugar Snaps",4,17,"0.66"
2012,"Others","Exotic Vegetables","Sugar Snaps",3,10,"0.6"
2012,"Kiambu","Exotic Vegetables","Spinach",1120,12457,"202.18"
2012,"Meru","Exotic Vegetables","Spinach",210,1537,"25.16"
2012,"Taita Taveta","Exotic Vegetables","Spinach",74,3342,"80.67"
2012,"Nyandarua","Exotic Vegetables","Spinach",829,11031,"58.17"
2012,"Laikipia","Exotic Vegetables","Spinach",56,758,"10.16"
2012,"Nakuru","Exotic Vegetables","Spinach",231,2056,"34.51"
2012,"Makueni","Exotic Vegetables","Spinach",81,1139,"27.95"
2012,"Bungoma","Exotic Vegetables","Spinach",190,1000,"22.6"
2012,"Uasin Gishu","Exotic Vegetables","Spinach",60,1000,"23.85"
2012,"Homa Bay","Exotic Vegetables","Spinach",15,107,"2.83"
2012,"Others","Exotic Vegetables","Spinach",1928,14436,"271"
2012,"Meru","Exotic Vegetables","Runner Beans",150,1500,"150"
2012,"Nyandarua","Exotic Vegetables","Runner Beans",180,230,"7"
2012,"Migori","Exotic Vegetables","Runner Beans",27,108,"1"
2012,"Nyeri","Exotic Vegetables","Runner Beans",5,9,"0"
2012,"Busia","Exotic Vegetables","Runner Beans",4,30,"1"
2012,"Samburu","Exotic Vegetables","Runner Beans",1,1,"0"
2012,"Others","Exotic Vegetables","Runner Beans",8,75,"3"
2012,"Meru","Exotic Vegetables","Cabbages",2036,95831,"989"
2012,"Nyandarua","Exotic Vegetables","Cabbages",2334,63575,"705"
2012,"Kiambu","Exotic Vegetables","Cabbages",1830,47735,"515"
2012,"Bungoma","Exotic Vegetables","Cabbages",995,28613,"272"
2012,"Kisii","Exotic Vegetables","Cabbages",892,23987,"275"
2012,"Bomet","Exotic Vegetables","Cabbages",1006,27619,"283"
2012,"Nakuru","Exotic Vegetables","Cabbages",849,18323,"125"
2012,"Narok","Exotic Vegetables","Cabbages",217,5026,"42"
2012,"Elgeyo Marakwet","Exotic Vegetables","Cabbages",1131,15338,"133"
2012,"Uasin Gishu","Exotic Vegetables","Cabbages",366,17012,"162"
2012,"Others","Exotic Vegetables","Cabbages",3395,68511,"1016"
2012,"Kiambu","Exotic Vegetables","Kales",5772,38963,"1128"
2012,"Kisii","Exotic Vegetables","Kales",1886,36938,"393"
2012,"Nyeri","Exotic Vegetables","Kales",826,19557,"188"
2012,"Nyamira","Exotic Vegetables","Kales",455,6930,"70"
2012,"Nandi","Exotic Vegetables","Kales",592,8537,"162"
2012,"Bungoma","Exotic Vegetables","Kales",1242,19978,"107"
2012,"Narok","Exotic Vegetables","Kales",431,8334,"665"
2012,"Uasin Gishu","Exotic Vegetables","Kales",462,18295,"222"
2012,"Kakamega","Exotic Vegetables","Kales",872,5738,"155"
2012,"Elgeyo Marakwet","Exotic Vegetables","Kales",725,11236,"118"
2012,"Others","Exotic Vegetables","Kales",10495,133506,"945"
2012,"Nyandarua","Exotic Vegetables","Garden Peas",4462,15678,"310"
2012,"Nakuru","Exotic Vegetables","Garden Peas",2384,11464,"195"
2012,"Meru","Exotic Vegetables","Garden Peas",178,914,"33"
2012,"Uasin Gishu","Exotic Vegetables","Garden Peas",146,1283,"63"
2012,"Laikipia","Exotic Vegetables","Garden Peas",1095,596,"19"
2012,"Bungoma","Exotic Vegetables","Garden Peas",30,450,"25"
2012,"Kiambu","Exotic Vegetables","Garden Peas",127,2245,"124"
2012,"Kericho","Exotic Vegetables","Garden Peas",29,116,"3"
2012,"Baringo","Exotic Vegetables","Garden Peas",54,421,"24"
2012,"Taita Taveta","Exotic Vegetables","Garden Peas",85,2320,"55"
2012,"Others","Exotic Vegetables","Garden Peas",478,3243,"31"
2012,"Kiambu","Exotic Vegetables","Carrots",676,108983,"1096"
2012,"Migori","Exotic Vegetables","Carrots",890,16830,"171"
2012,"Meru","Exotic Vegetables","Carrots",1037,10484,"169"
2012,"Nyandarua","Exotic Vegetables","Carrots",523,10357,"71"
2012,"Siaya","Exotic Vegetables","Carrots",223,3144,"106"
2012,"Kisii","Exotic Vegetables","Carrots",138,3396,"78"
2012,"Nyeri","Exotic Vegetables","Carrots",160,3228,"110"
2012,"Nakuru","Exotic Vegetables","Carrots",117,1530,"32"
2012,"Bungoma","Exotic Vegetables","Carrots",20,401,"32"
2012,"Homa Bay","Exotic Vegetables","Carrots",251,2006,"100"
2012,"Others","Exotic Vegetables","Carrots",1705,9743,"185"
2012,"Kiambu","Exotic Vegetables","Courgettes",279,2589,"60"
2012,"Taita Taveta","Exotic Vegetables","Courgettes",99,1444,"59"
2012,"Machakos","Exotic Vegetables","Courgettes",21,137,"3"
2012,"Murang'a","Exotic Vegetables","Courgettes",73,248,"7"
2012,"Nakuru","Exotic Vegetables","Courgettes",7,28,"2"
2012,"Kirinyaga","Exotic Vegetables","Courgettes",10,111,"3"
2012,"Kajiado","Exotic Vegetables","Courgettes",6,72,"4"
2012,"Embu","Exotic Vegetables","Courgettes",4,130,"3"
2012,"Others","Exotic Vegetables","Courgettes",64,1415,"39"
2012,"Kiambu","Exotic Vegetables","Sweet Pepper",236,1950.7,"71.96"
2012,"Makueni","Exotic Vegetables","Sweet Pepper",35.18,569.32,"19.56"
2012,"Tana River","Exotic Vegetables","Sweet Pepper",39,1203,"30.32"
2012,"Embu","Exotic Vegetables","Sweet Pepper",12,295.6,"6.33"
2012,"Kisumu","Exotic Vegetables","Sweet Pepper",26,234,"1.74"
2012,"Machakos","Exotic Vegetables","Sweet Pepper",51,264,"2.76"
2012,"Others","Exotic Vegetables","Sweet Pepper",487.5,4606,"145.61"
2012,"Meru","Exotic Vegetables","Broccoli",15,225,"22.5"
2012,"Kiambu","Exotic Vegetables","Broccoli",34,655,"23.8"
2012,"Homa Bay","Exotic Vegetables","Broccoli",11,165,"4.1"
2012,"Embu","Exotic Vegetables","Broccoli",40,100,"3"
2012,"Migori","Exotic Vegetables","Broccoli",380,5700,"87"
2012,"Siaya","Exotic Vegetables","Broccoli",10,40,"1.4"
2012,"Others","Exotic Vegetables","Broccoli",19,88,"2.6"
2012,"Kirinyaga","Exotic Vegetables","Butternut Pumpkins",105,4546,"55"
2012,"Elgeyo Marakwet","Exotic Vegetables","Butternut Pumpkins",23,1015,"15"
2012,"Meru","Exotic Vegetables","Butternut Pumpkins",96,2329,"50"
2012,"Embu","Exotic Vegetables","Butternut Pumpkins",38,1720,"24"
2012,"Siaya","Exotic Vegetables","Butternut Pumpkins",17,145,"13"
2012,"Homa Bay","Exotic Vegetables","Butternut Pumpkins",46,245,"3"
2012,"Murang'a","Exotic Vegetables","Butternut Pumpkins",63,418,"11"
2012,"Others","Exotic Vegetables","Butternut Pumpkins",214,1989,"37"
2012,"Makueni","Exotic Vegetables","Baby Corns",210,1560,"39"
2012,"Laikipia","Exotic Vegetables","Baby Corns",8,48,"2"
2012,"Kirinyaga","Exotic Vegetables","Baby Corns",128,1177,"19"
2012,"Machakos","Exotic Vegetables","Baby Corns",43,72,"2"
2012,"Others","Exotic Vegetables","Baby Corns",47,497,"12"
2012,"Kiambu","Exotic Vegetables","Lettuce",56,662,"24"
2012,"Taita Taveta","Exotic Vegetables","Lettuce",20,706,"18"
2012,"Nyeri","Exotic Vegetables","Lettuce",2,18,"0"
2012,"Vihiga","Exotic Vegetables","Lettuce",NA,NA,NA
2012,"Kakamega","Exotic Vegetables","Lettuce",NA,NA,NA
2012,"Others","Exotic Vegetables","Lettuce",13,81,"4"
2012,"Kiambu","Exotic Vegetables","Cauliflowers",63,3247.5,"62"
2012,"Kakamega","Exotic Vegetables","Cauliflowers",4,40,"0.8"
2012,"Taita Taveta","Exotic Vegetables","Cauliflowers",12,378,"1.6"
2012,"Kiambu","Exotic Vegetables","Beetroots",14,107.5,"5.4"
2012,"Nakuru","Exotic Vegetables","Beetroots",NA,NA,NA
2012,"Nandi","Exotic Vegetables","Beetroots",NA,NA,NA
2012,"Turkana","Exotic Vegetables","Beetroots",NA,NA,NA
2012,"Elgeyo Marakwet","Exotic Vegetables","Beetroots",0.5,0.1,"0.1"
2012,"Trans Nzoia","Exotic Vegetables","Beetroots",1.3,16.2,"1.3"
2012,"Murang'a","Exotic Vegetables","Cucumbers",63,531,"10.9"
2012,"Nyeri","Exotic Vegetables","Cucumbers",19,134,"6.3"
2012,"Kiambu","Exotic Vegetables","Cucumbers",12,102,"27.3"
2012,"Kajiado","Exotic Vegetables","Cucumbers",7,130,"2.6"
2012,"Machakos","Exotic Vegetables","Cucumbers",3,6,"0.1"
2012,"Kwale","Exotic Vegetables","Cucumbers",2,34,"1.2"
2012,"Siaya","Exotic Vegetables","Cucumbers",2,6,"0.3"
2012,"Embu","Exotic Vegetables","Cucumbers",10,10,"0.8"
2012,"Meru","Exotic Vegetables","Cucumbers",17,170,"3.5"
2012,"Others","Exotic Vegetables","Cucumbers",36,434,"18"
2012,"Migori","African Leafy Vegetables","Grain Amaranth",95,380,"15"
2012,"Siaya","African Leafy Vegetables","Grain Amaranth",30,300,"7.5"
2012,"Homa Bay","African Leafy Vegetables","Grain Amaranth",8,80,"4.3"
2012,"Kakamega","African Leafy Vegetables","Grain Amaranth",105,147,"2.6"
2012,"Kisii","African Leafy Vegetables","Grain Amaranth",176,2255,"37.4"
2012,"Kiambu","African Leafy Vegetables","Grain Amaranth",24,600,"10.8"
2012,"Vihiga","African Leafy Vegetables","Grain Amaranth",2,10,"0.9"
2012,"Trans Nzoia","African Leafy Vegetables","Grain Amaranth",NA,NA,NA
2012,"Busia","African Leafy Vegetables","Grain Amaranth",33,23,"1"
2012,"Bungoma","African Leafy Vegetables","Grain Amaranth",7,15,"0.6"
2012,"Others","African Leafy Vegetables","Grain Amaranth",45,141,"5.2"
2012,"Vihiga","African Leafy Vegetables","Leaf Amaranth",76,604,"31.2"
2012,"Kilifi","African Leafy Vegetables","Leaf Amaranth",177,3290,"65.8"
2012,"Nyamira","African Leafy Vegetables","Leaf Amaranth",2,10,"0.3"
2012,"Taita Taveta","African Leafy Vegetables","Leaf Amaranth",31,535,"12.6"
2012,"Kakamega","African Leafy Vegetables","Leaf Amaranth",190,849,"12.7"
2012,"Kiambu","African Leafy Vegetables","Leaf Amaranth",40,660,"11.4"
2012,"Homa Bay","African Leafy Vegetables","Leaf Amaranth",29,144,"0.7"
2012,"Tana River","African Leafy Vegetables","Leaf Amaranth",10,140,"2.8"
2012,"Others","African Leafy Vegetables","Leaf Amaranth",480,3681,"71"
2012,"Nyamira","African Leafy Vegetables","African Nightshade",326,2844,"82"
2012,"Kisii","African Leafy Vegetables","African Nightshade",387,3508,"125"
2012,"Narok","African Leafy Vegetables","African Nightshade",72,1440,"72"
2012,"Kericho","African Leafy Vegetables","African Nightshade",49,322,"11"
2012,"Kakamega","African Leafy Vegetables","African Nightshade",368,1371,"33"
2012,"Bungoma","African Leafy Vegetables","African Nightshade",157,824,"28"
2012,"Marakwet","African Leafy Vegetables","African Nightshade",238,2007,"18"
2012,"Bomet","African Leafy Vegetables","African Nightshade",116,589,"10"
2012,"Uasin Gishu","African Leafy Vegetables","African Nightshade",70,591,"15"
2012,"Homa Bay","African Leafy Vegetables","African Nightshade",64,386,"8"
2012,"Others","African Leafy Vegetables","African Nightshade",973,5063,"103"
2012,"Kitui","African Leafy Vegetables","Cowpeas",11780,19000,"32"
2012,"Siaya","African Leafy Vegetables","Cowpeas",405,4478,"254"
2012,"Migori","African Leafy Vegetables","Cowpeas",95,455,"26"
2012,"Machakos","African Leafy Vegetables","Cowpeas",1082,3702,"58"
2012,"Kakamega","African Leafy Vegetables","Cowpeas",526,1407,"30"
2012,"Kwale","African Leafy Vegetables","Cowpeas",696,1290,"25"
2012,"Bungoma","African Leafy Vegetables","Cowpeas",127,909,"28"
2012,"Kisumu","African Leafy Vegetables","Cowpeas",759,3063,"51"
2012,"Tharaka Nithi","African Leafy Vegetables","Cowpeas",61,325,"24"
2012,"Nyamira","African Leafy Vegetables","Cowpeas",301,2109,"39"
2012,"Others","African Leafy Vegetables","Cowpeas",9712,33202,"343"
2012,"Busia","African Leafy Vegetables","Jute Mallow (Mrenda)",436,2167,"86.3"
2012,"Siaya","African Leafy Vegetables","Jute Mallow (Mrenda)",613,3165,"68.9"
2012,"Migori","African Leafy Vegetables","Jute Mallow (Mrenda)",149,543,"17"
2012,"Kakamega","African Leafy Vegetables","Jute Mallow (Mrenda)",217,949,"14.1"
2012,"Homa Bay","African Leafy Vegetables","Jute Mallow (Mrenda)",54,211,"4.3"
2012,"Others","African Leafy Vegetables","Jute Mallow (Mrenda)",239,884,"24"
2012,"Bungoma","African Leafy Vegetables","Pumpkin Leaves",403,2033,"64.6"
2012,"Kakamega","African Leafy Vegetables","Pumpkin Leaves",82,194,"5.2"
2012,"Migori","African Leafy Vegetables","Pumpkin Leaves",47,553,"10"
2012,"Kisii","African Leafy Vegetables","Pumpkin Leaves",62,401,"7.1"
2012,"Kisumu","African Leafy Vegetables","Pumpkin Leaves",10,19,"4.7"
2012,"Others","African Leafy Vegetables","Pumpkin Leaves",193,748,"16"
2012,"Bungoma","African Leafy Vegetables","Pumpkin Fruits",359,10588,"274.2"
2012,"Lamu","African Leafy Vegetables","Pumpkin Fruits",182,4375,"73.5"
2012,"Siaya","African Leafy Vegetables","Pumpkin Fruits",25,420,"20.3"
2012,"Bomet","African Leafy Vegetables","Pumpkin Fruits",103,758,"8.3"
2012,"Kakamega","African Leafy Vegetables","Pumpkin Fruits",47,253,"7.4"
2012,"Others","African Leafy Vegetables","Pumpkin Fruits",475,7164,"140"
2012,"Siaya","African Leafy Vegetables","Rattle Pods",33,257,"6.9"
2012,"Trans Nzoia","African Leafy Vegetables","Rattle Pods",28,644,"11.9"
2012,"Migori","African Leafy Vegetables","Rattle Pods",18,90,"0.9"
2012,"Homa Bay","African Leafy Vegetables","Rattle Pods",42,141,"0.9"
2012,"Taita Taveta","African Leafy Vegetables","Rattle Pods",22,403,"8.1"
2012,"Others","African Leafy Vegetables","Rattle Pods",143,449,"14.5"
2012,"Nyamira","African Leafy Vegetables","Spider Plants (Sagaa)",620,9640,"121.5"
2012,"Kisii","African Leafy Vegetables","Spider Plants (Sagaa)",309,3812,"152"
2012,"Elgeyo Marakwet","African Leafy Vegetables","Spider Plants (Sagaa)",16,26,"0.9"
2012,"Kericho","African Leafy Vegetables","Spider Plants (Sagaa)",40,242,"7.4"
2012,"Siaya","African Leafy Vegetables","Spider Plants (Sagaa)",210,1224,"26.9"
2012,"Others","African Leafy Vegetables","Spider Plants (Sagaa)",1078,5190,"146"
2012,"Nyeri","Asian Vegetables","Eggplants",7973,27970,"630.9"
2012,"Makueni","Asian Vegetables","Eggplants",78,942,"32.7"
2012,"Meru","Asian Vegetables","Eggplants",70,765,"20"
2012,"Kwale","Asian Vegetables","Eggplants",NA,NA,NA
2012,"Murang'a","Asian Vegetables","Eggplants",56,295,"8.7"
2012,"Others","Asian Vegetables","Eggplants",409,4808,"91"
2012,"Kilifi","Asian Vegetables","Okra",170,2731,"99.2"
2012,"Mombasa","Asian Vegetables","Okra",NA,NA,NA
2012,"Makueni","Asian Vegetables","Okra",64,442,"15"
2012,"Others","Asian Vegetables","Okra",66,579,"19"
2012,"Meru","Asian Vegetables","Karela",14,150,"7.2"
2012,"Murang'a","Asian Vegetables","Karela",29,263,"6.4"
2012,"Taita Taveta","Asian Vegetables","Karela",39,868,"13"
2012,"Makueni","Asian Vegetables","Karela",25,170,"7.3"
2012,"Others","Asian Vegetables","Karela",62,536,"14"
2012,"Meru","Asian Vegetables","Dudhi",36,327,"9.8"
2012,"Murang'a","Asian Vegetables","Dudhi",34,194,"6.2"
2012,"Nyeri","Asian Vegetables","Dudhi",14,70,"3"
2012,"Tharaka Nithi","Asian Vegetables","Dudhi",20,160,"1.5"
2012,"Others","Asian Vegetables","Dudhi",8,70,"1.6"
2012,NA,"Asian Vegetables","Tindori",128,2356,"78.3"
2012,NA,"Asian Vegetables","Turia",1,12,"0.1"
2012,NA,"Asian Vegetables","Valore",24,62,"1.6"
2012,"Bungoma","Aromatic Plants","Spring Onions",703,28032,"756.7"
2012,"Kisii","Aromatic Plants","Spring Onions",662,9822,"206.2"
2012,"Siaya","Aromatic Plants","Spring Onions",54,465,"48.6"
2012,"Nyeri","Aromatic Plants","Spring Onions",590,1793,"73.3"
2012,"Bomet","Aromatic Plants","Spring Onions",41,205,"2.1"
2012,"Nandi","Aromatic Plants","Spring Onions",96,863,"18.9"
2012,"Nakuru","Aromatic Plants","Spring Onions",83,990,"20"
2012,"Nyandarua","Aromatic Plants","Spring Onions",107,1421,"18.1"
2012,"Others","Aromatic Plants","Spring Onions",1050,9128,"134"
2012,"Bungoma","Aromatic Plants","Bulb Onions",791,21068,"759.8"
2012,"Meru","Aromatic Plants","Bulb Onions",346,6543,"238.9"
2012,"Kajiado","Aromatic Plants","Bulb Onions",163,1790,"69.6"
2012,"Kisii","Aromatic Plants","Bulb Onions",101,1980,"81.6"
2012,"West Pokot","Aromatic Plants","Bulb Onions",260,3900,"119"
2012,"Mandera","Aromatic Plants","Bulb Onions",162,2219,"65"
2012,"Laikipia","Aromatic Plants","Bulb Onions",13,208,"8.3"
2012,"Siaya","Aromatic Plants","Bulb Onions",32,245,"14.2"
2012,"Nyandarua","Aromatic Plants","Bulb Onions",193,2790,"44.8"
2012,"Machakos","Aromatic Plants","Bulb Onions",147,1111,"33.9"
2012,"Others","Aromatic Plants","Bulb Onions",1439,15051,"522"
2012,"Lamu","Aromatic Plants","African Birds Eye Chili",65,260,"13"
2012,"Meru","Aromatic Plants","African Birds Eye Chili",NA,NA,NA
2012,"Kilifi","Aromatic Plants","African Birds Eye Chili",15,25,"1.2"
2012,"Kwale","Aromatic Plants","African Birds Eye Chili",6,46,"2.3"
2012,"Makueni","Aromatic Plants","African Birds Eye Chili",4,20,"1.3"
2012,"Others","Aromatic Plants","African Birds Eye Chili",41,73,"3"
2012,"Makueni","Aromatic Plants","Long Cayenne",11,206,"8.2"
2012,"Tana River","Aromatic Plants","Long Cayenne",NA,NA,NA
2012,"Elgeyo Marakwet","Aromatic Plants","Long Cayenne",11,64,"0.7"
2012,"Kwale","Aromatic Plants","Long Cayenne",12,89,"1.8"
2012,"Garissa","Aromatic Plants","Long Cayenne",23,61,"3.2"
2012,"Laikipia","Aromatic Plants","Long Cayenne",58,60,"1.2"
2012,"Others","Aromatic Plants","Long Cayenne",187,1371,"26.7"
2012,"Meru","Aromatic Plants","Bullet Chillies",4,18,"0.7"
2012,"Migori","Aromatic Plants","Bullet Chillies",15,150,"2.8"
2012,"Makueni","Aromatic Plants","Bullet Chillies",5,22,"1.4"
2012,"Bomet","Aromatic Plants","Bullet Chillies",3,17,"0.5"
2012,"Homa Bay","Aromatic Plants","Bullet Chillies",1,3,"0.1"
2012,"Tharaka Nithi","Aromatic Plants","Bullet Chillies",2,36,"1.4"
2012,"Others","Aromatic Plants","Bullet Chillies",77,163,"5.4"
2012,"Kiambu","Aromatic Plants","Coriander",119,2854,"61.8"
2012,"Kisii","Aromatic Plants","Coriander",5,30,"1.2"
2012,"Nakuru","Aromatic Plants","Coriander",9,23,"0.8"
2012,"Murang'a","Aromatic Plants","Coriander",8,43,"2.7"
2012,"Narok","Aromatic Plants","Coriander",11,32,"0.3"
2012,"Meru","Aromatic Plants","Coriander",3,13,"0.8"
2012,"Others","Aromatic Plants","Coriander",76,219,"9.2"
2012,"Meru","Aromatic Plants","Garlic",52,780,"78"
2012,"Bomet","Aromatic Plants","Garlic",6,100,"10.2"
2012,"Narok","Aromatic Plants","Garlic",6,34,"10.2"
2012,"Nakuru","Aromatic Plants","Garlic",2,7,"0.5"
2012,"Kakamega","Aromatic Plants","Garlic",1,2,"0.2"
2012,"Others","Aromatic Plants","Garlic",0,7,"9"
2012,"Taita Taveta","Aromatic Plants","Leeks",21,554,"38.9"
2012,"Nakuru","Aromatic Plants","Leeks",0,2,"0"
2012,"Kiambu","Aromatic Plants","Leeks",11,206,"50.2"
2012,"Meru","Aromatic Plants","Leeks",6,24,"0.7"
2012,"Others","Aromatic Plants","Leeks",18,111,"41.1"
2012,"Kilifi","Aromatic Plants","Moringa",30,20,"0.2"
2012,"Kisumu","Aromatic Plants","Moringa",2,2,"0.4"
2012,"Homa Bay","Aromatic Plants","Moringa",0.5,0.2,"0.1"
2012,"Kakamega","Aromatic Plants","Moringa",0.5,0.5,"0.06"
2012,"Vihiga","Aromatic Plants","Moringa",2,2,"0.03"
2012,"Others","Aromatic Plants","Moringa",3,3,"0.25"
2012,"Meru","Fruits","Bananas",6194,288803,"2675"
2012,"Kirinyaga","Fruits","Bananas",3434,185402,"1818"
2012,"Embu","Fruits","Bananas",3026,147791,"1480"
2012,"Bungoma","Fruits","Bananas",3029,57143,"1085"
2012,"Taita Taveta","Fruits","Bananas",2450,126727,"1296"
2012,"Taita Taveta","Fruits","Bananas",NA,NA,NA
2012,"Kisii","Fruits","Bananas",3856,85700,"1238"
2012,"Murang'a","Fruits","Bananas",5696,94981,"942"
2012,"Tharaka Nithi","Fruits","Bananas",2049,80900,"1039"
2012,"Kakamega","Fruits","Bananas",2485,31557,"797"
2012,"Nyamira","Fruits","Bananas",1356,26162,"561"
2012,"Others","Fruits","Bananas",14447,206793,"3.548"
2012,"Makueni","Fruits","Mangoes",10237,44482,"398"
2012,"Kwale","Fruits","Mangoes",2136,43196,"431"
2012,"Kilifi","Fruits","Mangoes",5729,101655,"1017"
2012,"Machakos","Fruits","Mangoes",4825,54329,"630"
2012,"Nyeri","Fruits","Mangoes",1833,44836,"763"
2012,"Embu","Fruits","Mangoes",3127,109105,"631"
2012,"Meru","Fruits","Mangoes",4176,46010,"460"
2012,"Bungoma","Fruits","Mangoes",935,18560,"209"
2012,"Tharaka Nithi","Fruits","Mangoes",1058,22280,"253"
2012,"Elgeyo Marakwet","Fruits","Mangoes",690,20072,"153"
2012,"Others","Fruits","Mangoes",6665,69195,"1271"
2012,"Embu","Fruits","Purple Passion Fruits",57,1793,"87"
2012,"Kwale","Fruits","Purple Passion Fruits",115,1309,"39"
2012,"Elgeyo Marakwet","Fruits","Purple Passion Fruits",333,4508,"186"
2012,"Nyeri","Fruits","Purple Passion Fruits",195,1170,"70"
2012,"Uasin Gishu","Fruits","Purple Passion Fruits",351,5779,"209"
2012,"Laikipia","Fruits","Purple Passion Fruits",49,84,"4"
2012,"Others","Fruits","Purple Passion Fruits",1176,10845,"438"
2012,"Kwale","Fruits","Yellow Passion Fruits",115,1309,"39.3"
2012,"Kilifi","Fruits","Yellow Passion Fruits",20,208,"6.2"
2012,"Lamu","Fruits","Yellow Passion Fruits",206,1647,"33.1"
2012,"Nyamira","Fruits","Avocadoes",441,9846,"85"
2012,"Bungoma","Fruits","Avocadoes",1350,18228,"1262.9"
2012,"Murang'a","Fruits","Avocadoes",1328,30085,"208"
2012,"Kisii","Fruits","Avocadoes",912,15451,"228"
2012,"Kiambu","Fruits","Avocadoes",637,14286,"240"
2012,"Kirinyaga","Fruits","Avocadoes",238,8512,"123"
2012,"Nyeri","Fruits","Avocadoes",234,3906,"48"
2012,"Embu","Fruits","Avocadoes",230,7650,"50"
2012,"Meru","Fruits","Avocadoes",498,4056,"38"
2012,"Makueni","Fruits","Avocadoes",206,1338,"38"
2012,"Others","Fruits","Avocadoes",2376,39578,"867"
2012,"Bungoma","Fruits","Pawpaws",824,20269,"707.5"
2012,"Nyeri","Fruits","Pawpaws",2600,28600,"286"
2012,"Tharaka Nithi","Fruits","Pawpaws",735,15699,"334.4"
2012,"Kwale","Fruits","Pawpaws",491,8369,"125.6"
2012,"Makueni","Fruits","Pawpaws",393,11728,"212.4"
2012,"Others","Fruits","Pawpaws",4756,65569,"1471"
